URL,Domain,Anchor

website: https://www.azlyrics.com

album: "Please Please Me" (1963)
/lyrics/beatles/isawherstandingthere.html,lyrics,I Saw Her Standing There
/lyrics/beatles/misery.html,lyrics,Misery
/lyrics/beatles/annagotohim.html,lyrics,Anna (Go To Him)
/lyrics/beatles/chains.html,lyrics,Chains
/lyrics/beatles/boys.html,lyrics,Boys
/lyrics/beatles/askmewhy.html,lyrics,Ask Me Why
/lyrics/beatles/pleasepleaseme.html,lyrics,Please Please Me
/lyrics/beatles/lovemedo.html,lyrics,Love Me Do
/lyrics/beatles/psiloveyou.html,lyrics,P.S. I Love You
/lyrics/beatles/babyitsyou.html,lyrics,Baby It's You
/lyrics/beatles/doyouwanttoknowasecret.html,lyrics,Do You Want To Know A Secret
/lyrics/beatles/atasteofhoney.html,lyrics,A Taste Of Honey
/lyrics/beatles/theresaplace.html,lyrics,There's A Place
/lyrics/beatles/twistandshout.html,lyrics,Twist And Shout

album: "With The Beatles" (1963)
/lyrics/beatles/itwontbelong.html,lyrics,It Won't Be Long
/lyrics/beatles/allivegottodo.html,lyrics,All I've Got To Do
/lyrics/beatles/allmyloving.html,lyrics,All My Loving
/lyrics/beatles/dontbotherme.html,lyrics,Don't Bother Me
/lyrics/beatles/littlechild.html,lyrics,Little Child
/lyrics/beatles/tilltherewasyou.html,lyrics,Till There Was You
/lyrics/beatles/pleasemisterpostman.html,lyrics,Please Mister Postman
/lyrics/beatles/rolloverbeethoven.html,lyrics,Roll Over Beethoven
/lyrics/beatles/holdmetight.html,lyrics,Hold Me Tight
/lyrics/beatles/youreallygotaholdonme.html,lyrics,You Really Got A Hold On Me
/lyrics/beatles/iwannabeyourman.html,lyrics,I Wanna Be Your Man
/lyrics/beatles/devilinherheart.html,lyrics,Devil In Her Heart
/lyrics/beatles/notasecondtime.html,lyrics,Not A Second Time
/lyrics/beatles/moneythatswhatiwant.html,lyrics,Money (That's What I Want)

album: "A Hard Day's Night" (1964)
/lyrics/beatles/aharddaysnight.html,lyrics,A Hard Day's Night
/lyrics/beatles/ishouldhaveknownbetter.html,lyrics,I Should Have Known Better
/lyrics/beatles/ififell.html,lyrics,If I Fell
/lyrics/beatles/imhappyjusttodancewithyou.html,lyrics,I'm Happy Just To Dance With You
/lyrics/beatles/andiloveher.html,lyrics,And I Love Her
/lyrics/beatles/tellmewhy.html,lyrics,Tell Me Why
/lyrics/beatles/cantbuymelove.html,lyrics,Can't Buy Me Love
/lyrics/beatles/anytimeatall.html,lyrics,Any Time At All
/lyrics/beatles/illcryinstead.html,lyrics,I'll Cry Instead
/lyrics/beatles/thingswesaidtoday.html,lyrics,Things We Said Today
/lyrics/beatles/whenigethome.html,lyrics,When I Get Home
/lyrics/beatles/youcantdothat.html,lyrics,You Can't Do That
/lyrics/beatles/illbeback.html,lyrics,I'll Be Back

album: "Beatles For Sale" (1964)
/lyrics/beatles/noreply.html,lyrics,No Reply
/lyrics/beatles/imaloser.html,lyrics,I'm A Loser
/lyrics/beatles/babysinblack.html,lyrics,Baby's In Black
/lyrics/beatles/rockandrollmusic.html,lyrics,Rock And Roll Music
/lyrics/beatles/illfollowthesun.html,lyrics,I'll Follow The Sun
/lyrics/beatles/mrmoonlight.html,lyrics,Mr. Moonlight
/lyrics/beatles/medleykansascityheyheyheyhey.html,lyrics,"Medley: Kansas City / Hey, Hey, Hey, Hey"
/lyrics/beatles/eightdaysaweek.html,lyrics,Eight Days A Week
/lyrics/beatles/wordsoflove.html,lyrics,Words Of Love
/lyrics/beatles/honeydont.html,lyrics,Honey Don't
/lyrics/beatles/everylittlething.html,lyrics,Every Little Thing
/lyrics/beatles/idontwanttospoiltheparty.html,lyrics,I Don't Want To Spoil The Party
/lyrics/beatles/whatyouredoing.html,lyrics,What You're Doing
/lyrics/beatles/everybodystryingtobemybaby.html,lyrics,Everybody's Trying To Be My Baby

album: "Help!" (1965)
/lyrics/beatles/help.html,lyrics,Help!
/lyrics/beatles/thenightbefore.html,lyrics,The Night Before
/lyrics/beatles/youvegottohideyourloveaway.html,lyrics,You've Got To Hide Your Love Away
/lyrics/beatles/ineedyou.html,lyrics,I Need You
/lyrics/beatles/anothergirl.html,lyrics,Another Girl
